latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
17.76015,75.44346,333.25,0.46,0.64,2026-01-26,0735,N,VIIRS,n,2.0NRT,295.98,2.48,D
19.1454,82.1602,334.79,0.5,0.41,2026-01-26,0735,N,VIIRS,l,2.0NRT,306.12,5.71,D
19.14831,82.15475,330.78,0.5,0.41,2026-01-26,0735,N,VIIRS,l,2.0NRT,305.03,5.71,D
19.14581,82.15705,346.5,0.5,0.41,2026-01-26,0735,N,VIIRS,n,2.0NRT,306.61,12.17,D
18.03051,76.22311,334.04,0.4,0.6,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.23,2.56,D
19.89623,85.86713,339.37,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.65,2.27,D
18.27508,76.76395,348.66,0.37,0.58,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.72,3.74,D
19.9352,85.81169,341.31,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.52,4.57,D
19.86606,85.30051,334.03,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.68,2.18,D
17.72565,73.96933,336.63,0.57,0.69,2026-01-26,0735,N,VIIRS,n,2.0NRT,293.13,5.09,D
20.14866,86.29998,335.58,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.77,3.38,D
20.15917,86.34707,331.01,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.56,1.58,D
20.16182,86.34611,346.22,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.83,7.76,D
19.6057,82.85124,338.27,0.46,0.39,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.83,2.39,D
20.18002,86.37689,330.07,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.33,2.1,D
20.18333,86.37634,330.05,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,301.7,2.1,D
20.19051,86.35632,337.66,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.43,3.93,D
20.23851,86.42728,335.55,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.2,2.47,D
18.44549,76.43356,331.91,0.39,0.59,2026-01-26,0735,N,VIIRS,n,2.0NRT,294.6,1.65,D
20.16496,85.80877,339.5,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.98,2.61,D
20.27882,86.53748,335.25,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.29,3.21,D
20.16826,85.80819,334.84,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.99,2.32,D
20.20792,85.77922,336.66,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.67,3.34,D
18.28548,75.42094,347.67,0.45,0.63,2026-01-26,0735,N,VIIRS,n,2.0NRT,297.3,6.61,D
19.7712,82.87955,335.5,0.46,0.39,2026-01-26,0735,N,VIIRS,n,2.0NRT,305.84,6.24,D
20.21073,85.5117,330.86,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.86,3.12,D
20.32668,86.24715,332.17,0.38,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.16,1.64,D
18.07129,74.04476,339,0.56,0.69,2026-01-26,0735,N,VIIRS,n,2.0NRT,295.57,9.15,D
20.23389,85.50766,347.36,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.07,8.3,D
20.23332,85.50398,332.71,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.45,2.92,D
18.07289,74.04084,349.37,0.56,0.69,2026-01-26,0735,N,VIIRS,n,2.0NRT,293.92,6.74,D
20.35001,85.95705,337.76,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.36,3.27,D
20.35331,85.95648,331.67,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.3,2.12,D
20.46233,86.45372,331.08,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.98,1.92,D
20.52528,86.71622,333.16,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.01,1.51,D
20.54648,86.49605,367,0.39,0.36,2026-01-26,0735,N,VIIRS,h,2.0NRT,308.73,32.4,D
20.5498,86.49549,367,0.39,0.36,2026-01-26,0735,N,VIIRS,h,2.0NRT,305.66,13.34,D
20.55035,86.49918,339.63,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.25,4.38,D
20.52828,86.2159,332.9,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.29,3.88,D
19.00586,77.39172,340.4,0.33,0.55,2026-01-26,0735,N,VIIRS,n,2.0NRT,297.67,2.13,D
20.53349,85.98166,340.68,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.4,4.8,D
20.54289,85.97961,336.95,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.43,4.49,D
19.00438,77.39321,335.05,0.33,0.55,2026-01-26,0735,N,VIIRS,n,2.0NRT,297.25,1.41,D
20.61647,86.24198,330.35,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,302.78,3.35,D
